date,description,amount,category,card,source
2025-05-11,COCA COLA CLARK STARKVILL OAKLAND KY,2.0,Dining,Chase-7557,20250521-statements-7557-.pdf
2025-05-15,GRUBHUB - MISSISSIPPI ST. MS STATE MS,5.98,Dining,Chase-7557,20250521-statements-7557-.pdf
2025-05-15,SHELL OIL 52376960036 STARKVILLE MS,3.3,Gas,Chase-7557,20250521-statements-7557-.pdf
2025-05-15,SHELL OIL 52376960036 STARKVILLE MS,5.13,Gas,Chase-7557,20250521-statements-7557-.pdf
2025-05-24,SHELL OIL 52376960036 STARKVILLE MS,5.54,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-05-24,SHELL OIL 52376960036 STARKVILLE MS,4.69,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-05-25,WALMART.COM 800-925-6278 AR,17.95,Merchandise,Chase-7557,20250621-statements-7557-.pdf
2025-05-25,WALMART.COM 800-925-6278 AR,10.67,Merchandise,Chase-7557,20250621-statements-7557-.pdf
2025-05-25,WALMART.COM 800-925-6278 AR,16.02,Merchandise,Chase-7557,20250621-statements-7557-.pdf
2025-05-25,SHELL OIL 52376960036 STARKVILLE MS,3.52,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-05-26,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-05-26,COCA COLA CLARK STARKVILL OAKLAND KY,2.0,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-05-26,SHELL OIL 52376960036 STARKVILLE MS,1.17,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-05-28,COCA COLA CLARK STARKVILL OAKLAND KY,2.0,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-05-28,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-05-28,GRUBHUB - MISSISSIPPI ST. MS STATE MS,7.05,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-05-28,SHELL OIL 52376960036 STARKVILLE MS,4.69,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-05-29,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-05-29,SHELL OIL 52376960036 STARKVILLE MS,1.17,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-05-30,WALMART.COM 800-925-6278 AR,48.04,Merchandise,Chase-7557,20250621-statements-7557-.pdf
2025-05-31,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-05-31,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-01,SHELL OIL 52376960036 STARKVILLE MS,1.17,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-02,COCA COLA CLARK STARKVILL OAKLAND KY,2.0,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-02,SHELL OIL 52376960036 STARKVILLE MS,4.69,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-03,CTLP*REFRESHMENTS INC CORINTH MS,2.25,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-03,COCA COLA CLARK STARKVILL OAKLAND KY,2.0,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-04,COCA COLA CLARK STARKVILL OAKLAND KY,2.0,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-04,AMK MSU PANDA EXPRESS MISSISSIPPI S MS,8.88,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-04,SHELL OIL 52376960036 STARKVILLE MS,4.69,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-05,CTLP*REFRESHMENTS INC CORINTH MS,2.0,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-05,SHELL OIL 52376960036 STARKVILLE MS,4.69,Gas,Chase-7557,20250621-statements-7557-.pdf
2025-06-06,COCA COLA CLARK STARKVILL OAKLAND KY,2.0,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-07,CTLP*REFRESHMENTS INC CORINTH MS,5.75,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-07,AMK MSU GRIFFIS POD MISSISSIPPI S MS,2.56,Dining,Chase-7557,20250621-statements-7557-.pdf
2025-06-07,SHELL OIL 52376960036 STARKVILLE MS,6.71,Gas,Chase-7557,20250621-statements-7557-.pdf
